Module	OID	Simple MIB	Full MIB	Type
SNMPv2-MIB	.1.3.6.1.2.1.1.1.0	SNMPv2-MIB::sysDescr.0	.iso.org.dod.internet.mgmt.mib-2.system.sysDescr.0	String
SNMPv2-MIB	.1.3.6.1.2.1.1.2.0	SNMPv2-MIB::sysObjectID.0	.iso.org.dod.internet.mgmt.mib-2.system.sysObjectID.0	OID
SNMPv2-MIB	.1.3.6.1.2.1.1.4.0	SNMPv2-MIB::sysContact.0	.iso.org.dod.internet.mgmt.mib-2.system.sysContact.0	String
SNMPv2-MIB	.1.3.6.1.2.1.1.5.0	SNMPv2-MIB::sysName.0	.iso.org.dod.internet.mgmt.mib-2.system.sysName.0	String
SNMPv2-MIB	.1.3.6.1.2.1.1.6.0	SNMPv2-MIB::sysLocation.0	.iso.org.dod.internet.mgmt.mib-2.system.sysLocation.0	String
SNMPv2-MIB	.1.3.6.1.2.1.1.7.0	SNMPv2-MIB::sysServices.0	.iso.org.dod.internet.mgmt.mib-2.system.sysServices.0	Integer
SNMPv2-MIB	.1.3.6.1.2.1.1.8.0	SNMPv2-MIB::sysORLastChange.0	.iso.org.dod.internet.mgmt.mib-2.system.sysORLastChange.0	TimeTicks
SNMPv2-MIB	.1.3.6.1.2.1.1.9.1.2.1	SNMPv2-MIB::sysORID.1	.iso.org.dod.internet.mgmt.mib-2.system.sysORTable.sysOREntry.sysORID.1	OID
SNMPv2-MIB	.1.3.6.1.2.1.1.9.1.2.2	SNMPv2-MIB::sysORID.2	.iso.org.dod.internet.mgmt.mib-2.system.sysORTable.sysOREntry.sysORID.2	OID
SNMPv2-MIB	.1.3.6.1.2.1.1.9.1.2.3	SNMPv2-MIB::sysORID.3	.iso.org.dod.internet.mgmt.mib-2.system.sysORTable.sysOREntry.sysORID.3	OID
SNMPv2-MIB	.1.3.6.1.2.1.1.9.1.2.4	SNMPv2-MIB::sysORID.4	.iso.org.dod.internet.mgmt.mib-2.system.sysORTable.sysOREntry.sysORID.4	OID
SNMPv2-MIB	.1.3.6.1.2.1.1.9.1.2.5	SNMPv2-MIB::sysORID.5	.iso.org.dod.internet.mgmt.mib-2.system.sysORTable.sysOREntry.sysORID.5	OID
SNMPv2-MIB	.1.3.6.1.2.1.1.9.1.2.6	SNMPv2-MIB::sysORID.6	.iso.org.dod.internet.mgmt.mib-2.system.sysORTable.sysOREntry.sysORID.6	OID
